Trial,MaleID,MaleMorph,Wing_shape,Wing_vein,FemID,FemMorph,Date,CourtYN,MountYN,didnotinteract
t2,CC2,CwFw,Cw,Fw,CC22,wt,12/03/2020,1,1,0
t3,CC3,CwNw,Cw,Nw,CC10,Cw,12/03/2020,1,1,0
t4,CC4,wtFw,wt,Fw,CC23,wt,12/03/2020,1,0,0
t5,CC5,CwNw,Cw,Nw,CC19,wt,12/03/2020,1,0,0
t6,CC6,wtNw,wt,Nw,CC24,wt,12/03/2020,,,1
t7,CC7,CwNw,Cw,Nw,CC37,wt,12/03/2020,,,1
t8,CC8,CwNw,Cw,Nw,CC5,wt,12/03/2020,1,0,0
t9,CC9,wtNw,wt,Nw,CC13,wt,12/03/2020,,,1
t10,CC10,CwNw,Cw,Nw,CC25,Cw,12/03/2020,,,1
t11,CC11,wtNw,wt,Nw,CC17,Cw,12/03/2020,1,1,0
t12,CC12,wtFw,wt,Fw,CC8,Cw,12/03/2020,1,0,0
t13,CC13,CwFw,Cw,Fw,CC31,Cw,12/03/2020,1,1,0
t14,CC14,CwFw,Cw,Fw,CC27,wt,12/03/2020,1,0,0
t15,CC15,CwNw,Cw,Nw,CC4,Cw,12/03/2020,0,0,0
t16,CC16,CwNw,Cw,Nw,CC16,Cw,12/03/2020,,,1
t17,CC17,CwNw,Cw,Nw,CC26,wt,12/03/2020,0,1,0
t18,CC18,wtNw,wt,Nw,CC34,Cw,12/03/2020,,,1
t19,CC19,CwFw,Cw,Fw,CC14,wt,12/03/2020,0,0,0
t20,CC20,wtNw,wt,Nw,CC18,wt,12/03/2020,0,1,0
t21,CC21,CwFw,Cw,Fw,CC32,wt,12/03/2020,0,1,0
t22,CC22,CwNw,Cw,Nw,CC7,wt,12/03/2020,,,1
t23,CC23,CwNw,Cw,Nw,CC2,wt,12/03/2020,0,1,0
t24,CC24,CwNw,Cw,Nw,CC36,Cw,12/03/2020,0,0,0
t25,CC1,CwNw,Cw,Nw,CC33,wt,13/03/2020,,,1
t26,CC6,wtNw,wt,Nw,CC20,Cw,13/03/2020,1,1,0
t27,CC7,CwNw,Cw,Nw,CC9,wt,13/03/2020,1,0,0
t28,CC9,wtNw,wt,Nw,CC15,wt,13/03/2020,1,1,0
t29,CC10,CwNw,Cw,Nw,CC3,Cw,13/03/2020,0,1,0
t30,CC16,CwNw,Cw,Nw,CC7,wt,13/03/2020,1,1,0
t31,CC18,wtNw,wt,Nw,CC30,wt,13/03/2020,0,0,0
t32,CC22,CwNw,Cw,Nw,CC11,Cw,13/03/2020,1,0,0
t33,CC25,wtFw,wt,Fw,CC18,wt,13/03/2020,0,1,0
t34,CC1,CwNw,Cw,Nw,CC13,wt,13/03/2020,1,1,0
t35,CC26,wtNw,wt,Nw,CC28,wt,15/03/2020,1,1,0
t36,CC27,wtFw,wt,Fw,CC24,wt,15/03/2020,,,1
t37,CC28,CwNw,Cw,Nw,CC35,Cw,15/03/2020,0,0,0
t38,CC29,wtNw,wt,Nw,CC6,wt,15/03/2020,0,1,0
t39,CC30,CwFw,Cw,Fw,CC16,Cw,15/03/2020,0,1,0
t40,CC31,wtFw,wt,Fw,CC29,wt,15/03/2020,1,0,0
t41,CC32,wtNw,wt,Nw,CC34,Cw,15/03/2020,1,1,0
t42,CC33,wtNw,wt,Nw,CC21,Cw,15/03/2020,0,1,0
t43,CC34,CwNw,Cw,Nw,CC25,Cw,15/03/2020,1,1,0
t44,CC35,CwFw,Cw,Fw,CC1,wt,15/03/2020,0,0,0
t45,CC36,CwNw,Cw,Nw,CC12,wt,15/03/2020,1,1,0
t46,CC37,wtNw,wt,Nw,CC51,Cw,15/03/2020,1,1,0
t47,CC38,CwFw,Cw,Fw,CC48,Cw,15/03/2020,1,1,0
t48,CC39,CwNw,Cw,Nw,CC43,wt,16/03/2020,0,0,0
t49,CC40,CwFw,Cw,Fw,CC46,wt,16/03/2020,1,1,0
t50,CC41,wtNw,wt,Nw,CC44,wt,16/03/2020,1,1,0
t51,CC42,wtFw,wt,Fw,CC39,wt,16/03/2020,,,1
t52,CC43,wtNw,wt,Nw,CC40,Cw,16/03/2020,0,0,0
t53,CC44,wtNw,wt,Nw,CC53,wt,16/03/2020,0,0,0
t54,CC45,wtNw,wt,Nw,CC49,Cw,16/03/2020,1,1,0
t55,CC46,CwFw,Cw,Fw,CC45,Cw,16/03/2020,,,1
t56,CC47,CwNw,Cw,Nw,CC47,wt,16/03/2020,0,0,0
t57,CC48,wtFw,wt,Fw,CC38,wt,16/03/2020,0,0,0
t58,CC49,CwFw,Cw,Fw,CC42,wt,16/03/2020,1,0,0
t59,CC50,wtFw,wt,Fw,CC60,Cw,17/03/2020,1,0,0
t60,CC51,CwNw,Cw,Nw,CC59,wt,17/03/2020,1,0,0
t61,CC52,wtFw,wt,Fw,CC37,wt,17/03/2020,0,1,0
t62,CC53,CwNw,Cw,Nw,CC24,wt,17/03/2020,0,0,0
t63,CC54,CwFw,Cw,Fw,CC61,Cw,17/03/2020,1,1,0
t64,CC55,CwFw,Cw,Fw,CC64,wt,17/03/2020,0,0,0
t65,CC56,wtNw,wt,Nw,CC63,Cw,17/03/2020,,,1
t66,CC27,wtFw,wt,Fw,CC50,Cw,17/03/2020,,,1
t67,CC42,NA,NA,NA,CC39,Cw,17/03/2020,0,1,0
t68,CC57,wtNw,wt,Nw,CC57,wt,18/03/2020,,,1
t69,CC58,wtNw,wt,Nw,CC56,wt,18/03/2020,0,0,0
t70,CC60,wtNw,wt,Nw,CC58,Cw,18/03/2020,,,1
t71,CC61,wtNw,wt,Nw,CC55,wt,18/03/2020,1,1,0
t72,CC62,wtNw,wt,Nw,CC54,Cw,18/03/2020,1,1,0
t73,CC42,CwFw,Cw,Fw,CC56,wt,18/03/2020,0,1,0
t74,CC2,CwFw,Cw,Fw,CC32,wt,18/03/2020,0,0,0
t75,CC3,CwNw,Cw,Nw,CC14,wt,18/03/2020,1,1,0
t76,CC4,wtFw,wt,Fw,CC10,Cw,18/03/2020,,,1
t77,CC5,CwNw,Cw,Nw,CC19,wt,18/03/2020,1,1,0
t78,CC6,wtNw,wt,Nw,CC18,wt,18/03/2020,1,1,0
t79,CC7,CwNw,Cw,Nw,CC23,wt,18/03/2020,0,0,0
t80,CC8,CwNw,Cw,Nw,CC17,wt,18/03/2020,1,1,0
t81,CC9,CwNw,Cw,Nw,CC4,Cw,18/03/2020,1,1,0
t82,CC11,wtNw,wt,Nw,CC27,wt,18/03/2020,1,1,0
t83,CC12,wtFw,wt,Fw,CC27,Cw,18/03/2020,1,0,0
t84,CC13,CwFw,Cw,Fw,CC31,Cw,18/03/2020,0,0,0
t85,CC14,CwFw,Cw,Fw,CC26,wt,18/03/2020,0,1,0
t86,CC16,CwNw,Cw,Nw,CC33,wt,19/03/2020,1,1,0
t87,CC17,CwNw,Cw,Nw,CC33,wt,19/03/2020,1,1,0
t88,CC18,wtNw,wt,Nw,CC13,wt,19/03/2020,0,0,0
t89,CC20,wtNw,wt,Nw,CC22,wt,19/03/2020,0,1,0
t90,CC21,CwFw,Cw,Fw,CC20,,19/03/2020,,,1
t91,CC22,CwNw,Cw,Nw,CC8,wt,19/03/2020,1,0,0
t92,CC23,CwNw,Cw,Nw,CC30,wt,19/03/2020,,,0
t93,CC24,CwNw,Cw,Nw,CC46,wt,19/03/2020,1,1,0
t94,CC25,wtFw,wt,Fw,CC45,Cw,19/03/2020,1,1,0
t95,CC60,wtNw,wt,Nw,CC52,wt,19/03/2020,1,1,0
t96,CC57,wtNw,wt,Nw,CC58,Cw,19/03/2020,1,1,0
t97,CC21,CwFw,Cw,Fw,CC10,Cw,19/03/2020,1,0,0
t98,CC4,wtFw,wt,Fw,CC20,Cw,19/03/2020,,,1
t99,CC56,wtNw,wt,Nw,CC57,wt,19/03/2020,1,1,0
t101,CC27,wtNw,wt,Nw,CC50,Cw,20/03/2020,1,1,0
t102,CC63,wtFw,wt,Fw,CC64,Cw,20/03/2020,1,0,0
t103,CC64,CwNw,Cw,Nw,CC65,wt,20/03/2020,1,0,0
t104,CC65,CwNw,Cw,Nw,CC66,wt,20/03/2020,0,0,0
t105,CC66,CwNw,Cw,Nw,CC67,Cw,20/03/2020,1,1,0
t106,CC67,CwNw,Cw,Nw,CC68,wt,20/03/2020,,,1
t107,CC68,CwNw,Cw,Nw,CC69,Cw,20/03/2020,1,0,0
t108,CC26,wtNw,wt,Nw,CC16,wt,22/03/2020,1,1,0
t109,CC31,wtFw,wt,Fw,CC21,Cw,22/03/2020,1,1,0
t110,CC32,wtNw,wt,Nw,CC51,Cw,22/03/2020,1,1,0
t111,CC33,wtNw,wt,Nw,CC35,Cw,22/03/2020,0,0,0
t112,CC34,CwNw,Cw,Nw,CC1,wt,22/03/2020,1,1,0
t113,CC35,CwFw,Cw,Fw,CC34,Cw,22/03/2020,1,1,0
t114,CC36,CwNw,Cw,Nw,CC25,Cw,22/03/2020,0,0,0
t115,CC38,CwFw,Cw,Fw,CC29,wt,22/03/2020,1,0,0
t116,CC39,CwNw,Cw,Nw,CC44,wt,23/03/2020,1,0,0
t117,CC41,wtNw,wt,Nw,CC41,wt,23/03/2020,0,0,0
t118,CC43,wtNw,wt,Nw,CC53,wt,23/03/2020,1,1,0
t119,CC44,wtNw,wt,Nw,CC43,Cw,23/03/2020,1,1,0
t120,CC45,CwNw,Cw,Nw,CC42,wt,23/03/2020,1,0,0
t121,CC47,CwNw,Cw,Nw,CC47,wt,23/03/2020,1,1,0
t122,CC49,CwFw,Cw,Fw,CC49,Cw,23/03/2020,1,1,0
t123,CC80,wtFw,wt,Fw,CC80,Cw,23/03/2020,0,0,0
t124,CC81,wtFw,wt,Fw,CC81,Cw,23/03/2020,1,0,0
t125,CC82,wtFw,wt,Fw,CC82,Cw,23/03/2020,1,1,0
t126,CC83,wtFw,wt,Fw,CC83,Cw,23/03/2020,1,1,0
t127,CC84,CwFw,Cw,Fw,CC84,Cw,23/03/2020,,,1
t128,CC85,CwNw,Cw,Nw,CC85,wt,23/03/2020,1,1,0
t129,CC86,CwNw,Cw,Nw,CC86,wt,23/03/2020,1,0,0
t130,CC87,CwNw,Cw,Nw,CC87,wt,23/03/2020,1,1,0
t131,CC50,wtFw,wt,Fw,CC64,wt,24/03/2020,1,0,0
t132,CC51,CwNw,Cw,Nw,CC24,,24/03/2020,1,1,0
t133,CC52,wtFw,wt,Fw,CC60,Cw,24/03/2020,1,1,0
t134,CC53,CwNw,wt,Fw,CC37,wt,24/03/2020,0,0,0
t135,CC55,CwFw,Cw,Nw,CC61,,24/03/2020,1,1,0
t136,CC56,wtNw,Cw,Fw,CC57,wt,24/03/2020,1,1,0
t137,CC27,wtNw,wt,Nw,CC50,Cw,24/03/2020,1,1,0
t138,CC42,wtFw,wt,Fw,CC55,wt,24/03/2020,1,1,0
t139,CC88,CwNw,Cw,Nw,CC88,wt,25/03/2020,1,1,0
t140,CC57,wtNw,wt,Nw,CC58,Cw,25/03/2020,1,1,0
t141,CC58,wtNw,wt,Nw,CC56_1,wt,25/03/2020,1,1,0
t142,CC61,wtNw,wt,Nw,CC26,wt,25/03/2020,1,1,0
t143,CC62,wtNw,wt,Nw,CC31,Cw,25/03/2020,1,1,0
t144,CC80,wtFw,wt,Fw,CC82,wt,27/03/2020,1,1,0
t145,CC81,wtFw,wt,Fw,CC85,wt,27/03/2020,1,1,0
t146,CC82,wtFw,wt,Fw,CC87,wt,27/03/2020,0,1,0
t147,CC83,wtFw,wt,Fw,CC86,wt,27/03/2020,1,1,0
t148,CC84,CwFw,Cw,Fw,CC81,Cw,27/03/2020,1,1,0
t149,CC85,CwNw,Cw,Nw,CC84,wt,27/03/2020,,,1
t150,CC86,CwNw,Cw,Nw,CC83,Cw,27/03/2020,1,0,0
t151,CC87,CwNw,Cw,Nw,CC80,Cw,27/03/2020,1,1,0
t201,CC201,CwNw,Cw,Nw,CC201,Cw,13/09/2020,1,1,0
t202,CC202,CwNw,Cw,Nw,CC202,Cw,14/09/2020,0,1,0
t203,CC203,CwNw,Cw,Nw,CC205,wt,14/09/2020,,,1
t204,CC206,CwFw,Cw,Fw,CC206,wt,14/09/2020,1,1,0
t205,CC204,wtNw,wt,Nw,CC204,wt,14/09/2020,1,1,0
t206,CC205,wtNw,wt,Nw,CC205,Cw,14/09/2020,1,1,0
t207,CC209,CwFw,Cw,Fw,CC207,wt,18/09/2020,1,1,0
t208,CC210,CwNw,Cw,Nw,CC208,wt,18/09/2020,0,0,0
t209,CC211,CwNw,Cw,Nw,CC210,Cw,18/09/2020,1,1,0
t210,CC203,CwNw,Cw,Nw,CC212,wt,18/09/2020,0,1,0
t211,CC201,CwNw,Cw,Nw,CC202,Cw,19/09/2020,1,1,0
t212,CC205,wtNw,wt,Nw,CC208,wt,19/09/2020,1,1,0
t213,CC204,wtNw,wt,Nw,CC207,wt,19/09/2020,1,1,0
t214,CC206,CwFw,Cw,Fw,CC204,wt,19/09/2020,1,1,0
t215,CC209,CwFw,Cw,Fw,CC205,Cw,19/09/2020,1,0,0
t216,CC212,CwFw,Cw,Fw,CC213,wt,20/09/2020,1,0,0
t217,CC213,wtFw,wt,Fw,CC214,wt,20/09/2020,0,1,0
t218,CC214,CwNw,Cw,Nw,CC215,wt,20/09/2020,0,0,0
t219,CC215,wtNw,wt,Nw,CC216,wt,20/09/2020,1,1,0
